threshold,confirm_chunks,min_stations,window_sec,n_events,eligible_events,geometry_eligible_events,associated_events,delaunay_supported_events,association_rate_percent,delaunay_support_rate_percent,delaunay_support_among_associated_percent,median_assoc_delay_from_first_p_sec,median_delaunay_delay_from_first_p_sec,p95_delaunay_delay_from_first_p_sec,median_extra_delay_after_plain_assoc_sec
0.55,2,2,3.0,36,36,36,36,36,100.0,100.0,100.0,1.0,2.0,6.5,0.5
0.55,2,2,5.0,36,36,36,36,36,100.0,100.0,100.0,1.0,2.0,6.5,0.5
0.55,2,3,3.0,36,36,36,36,35,100.0,97.22222222222221,97.22222222222221,2.0,4.0,11.5,1.5
0.55,2,3,5.0,36,36,36,36,36,100.0,100.0,100.0,2.0,4.25,11.5,1.5
