gate,threshold,confirm_chunks,valid_chunks,valid_hours,station_day_equivalent,over_threshold_chunks,artifact_gated_valid_chunks,alarm_episodes,interval_count,over_threshold_rate_percent,artifact_gated_valid_rate_percent,false_alerts_per_hour,false_alerts_per_station_day
none,0.55,1,1717200,238.5,9.9375,1064,0,984,4,0.061961332401583975,0.0,4.1257861635220126,99.01886792452831
none,0.55,2,1717200,238.5,9.9375,1064,0,79,4,0.061961332401583975,0.0,0.3312368972746331,7.949685534591195
none,0.55,3,1717200,238.5,9.9375,1064,0,1,4,0.061961332401583975,0.0,0.0041928721174004195,0.10062893081761007
peak12_width2,0.55,1,1717200,238.5,9.9375,1064,8,984,4,0.061961332401583975,0.0004658746797111577,4.1257861635220126,99.01886792452831
peak12_width2,0.55,2,1717200,238.5,9.9375,1064,8,79,4,0.061961332401583975,0.0004658746797111577,0.3312368972746331,7.949685534591195
peak12_width2,0.55,3,1717200,238.5,9.9375,1064,8,1,4,0.061961332401583975,0.0004658746797111577,0.0041928721174004195,0.10062893081761007
peak12_width8,0.55,1,1717200,238.5,9.9375,1061,95,982,4,0.061786629396692286,0.005532261821569998,4.117400419287212,98.81761006289308
peak12_width8,0.55,2,1717200,238.5,9.9375,1061,95,78,4,0.061786629396692286,0.005532261821569998,0.3270440251572327,7.849056603773585
peak12_width8,0.55,3,1717200,238.5,9.9375,1061,95,1,4,0.061786629396692286,0.005532261821569998,0.0041928721174004195,0.10062893081761007
