dataset,slice,group,n,detected,detection_rate,usable,usable_rate,perfect,perfect_rate,good,early,late,miss,mae_sec,rmse_sec,mean_gap_sec,median_gap_sec,std_gap_sec
K-NET,"M>=4, d<=200 km",all,715,715,100.0,703,98.32167832167832,664,92.86713286713287,39,12,0,0,0.43356643356643354,1.1505547461012986,-0.43356643356643354,-0.5,1.0657374777405124
K-NET,M4-5,magnitude bin,535,535,100.0,530,99.06542056074767,525,98.13084112149532,5,5,0,0,0.32616822429906545,0.7933720768570373,-0.32616822429906545,-0.5,0.7232244062488774
K-NET,M5-6,magnitude bin,105,105,100.0,101,96.19047619047619,94,89.52380952380953,7,4,0,0,0.5285714285714286,1.387872644081753,-0.5285714285714286,-0.5,1.2832781152534456
K-NET,M6-7,magnitude bin,75,75,100.0,72,96.0,45,60.0,27,3,0,0,1.0666666666666667,2.330951164939612,-1.0666666666666667,-0.5,2.072572207561309
K-NET,0-50 km,distance bin,306,306,100.0,300,98.0392156862745,287,93.79084967320262,13,6,0,0,0.3741830065359477,0.8367576702324337,-0.3741830065359477,-0.5,0.7484320118170589
K-NET,50-100 km,distance bin,340,340,100.0,335,98.52941176470588,317,93.23529411764706,18,5,0,0,0.4661764705882353,1.3086252328302401,-0.4661764705882353,-0.5,1.2227753261617176
K-NET,100-200 km,distance bin,69,69,100.0,68,98.55072463768117,60,86.95652173913044,8,1,0,0,0.5362318840579711,1.4744195615489712,-0.5362318840579711,-0.5,1.3734512768925955
