threshold,confirm_chunks,event_detection_rate,usable_rate,perfect_rate,median_delay_sec,p95_delay_sec,false_alarms_per_hour
0.3,1,100.0,97.2027972027972,79.16083916083916,-0.5,0.0,133.75078271759548
0.3,2,100.0,99.3006993006993,95.66433566433568,0.0,0.5,105.94865372573577
0.3,3,98.32167832167832,98.1818181818182,67.83216783216784,0.5,1.0,84.1577958672511
0.55,1,100.0,98.32167832167832,92.86713286713288,-0.5,0.0,19.536631183469005
0.55,2,99.3006993006993,99.16083916083916,98.1818181818182,0.0,0.5,2.2542266750156545
0.55,3,55.8041958041958,55.8041958041958,51.18881118881119,0.5,1.0,0.0
