trace_name,chunk_idx,time_rel_sec,probability,packet_rms,cumulative_rms,zne_mean,embedding_delta_norm,p_chunk,threshold,confirm_chunks,trigger_start_chunk,trigger_available_chunk
IWT0160112022202,0,-13.64,0.0051213666,0.008773587319357961,0.008773587319357961,0.3526371121406555,0.0,27,0.55,2,27,28
IWT0160112022202,1,-13.14,0.002442994,0.008786978879363179,0.008780285652436753,0.4751369059085846,1.0834017248190924,27,0.55,2,27,28
IWT0160112022202,2,-12.64,0.0038357563,0.008518687469472392,0.008693960901670371,0.7921298146247864,0.5833201410807816,27,0.55,2,27,28
IWT0160112022202,3,-12.14,0.011231749,0.00856317120167271,0.008661448630403521,0.32976433634757996,0.5638631163613044,27,0.55,2,27,28
IWT0160112022202,4,-11.64,0.024547532,0.008775851283595378,0.008684449726496882,0.5099694728851318,0.6054701990398054,27,0.55,2,27,28
IWT0160112022202,5,-11.14,0.029977284,0.00972563439220426,0.008866475244717082,0.47969576716423035,1.1831989021842433,27,0.55,2,27,28
IWT0160112022202,6,-10.64,0.035293534,0.008537302237814381,0.008820202695199855,0.46928974986076355,0.828009017780263,27,0.55,2,27,28
IWT0160112022202,7,-10.14,0.035066992,0.008642652257929042,0.008798204839215508,0.5228922367095947,1.1187812680564204,27,0.55,2,27,28
IWT0160112022202,8,-9.64,0.04082665,0.007828053628809633,0.008695756888390268,0.5633679032325745,1.4397726611118542,27,0.55,2,27,28
IWT0160112022202,9,-9.14,0.03788043,0.007577934264657758,0.008590522559643012,0.5012973546981812,1.1834451570644775,27,0.55,2,27,28
IWT0160112022202,10,-8.64,0.039883897,0.00854580329664365,0.008586466796187214,0.5516926646232605,0.8753346103177081,27,0.55,2,27,28
IWT0160112022202,11,-8.14,0.037456244,0.00790684654688555,0.008531899723870981,0.8787468075752258,0.4163151340342456,27,0.55,2,27,28
IWT0160112022202,12,-7.640000000000001,0.035116497,0.008012213893656419,0.008493052935990493,0.4599030315876007,0.7677695924767487,27,0.55,2,27,28
IWT0160112022202,13,-7.140000000000001,0.03185596,0.008270236046320207,0.008477331666264163,0.49298304319381714,0.7019222663093603,27,0.55,2,27,28
IWT0160112022202,14,-6.640000000000001,0.029793736,0.008289280805031557,0.008464924913163717,0.5767900943756104,0.5433793792443613,27,0.55,2,27,28
IWT0160112022202,15,-6.140000000000001,0.025259795,0.008341974916411974,0.008457292904235605,0.2994999289512634,0.859176394481473,27,0.55,2,27,28
IWT0160112022202,16,-5.640000000000001,0.023318244,0.008914578192972195,0.00848487428118295,0.6433016061782837,1.010761559356678,27,0.55,2,27,28
IWT0160112022202,17,-5.140000000000001,0.02201131,0.00813391713520955,0.008465758365352398,0.45876219868659973,0.5153798317419881,27,0.55,2,27,28
IWT0160112022202,18,-4.640000000000001,0.023989562,0.00788371887043267,0.008436125912556476,0.5423030257225037,1.1904915712178106,27,0.55,2,27,28
IWT0160112022202,19,-4.140000000000001,0.023695836,0.008575205467448126,0.008443134301450446,0.5360574126243591,0.5408041014177504,27,0.55,2,27,28
IWT0160112022202,20,-3.6400000000000006,0.024371913,0.008211236005930732,0.008432236141853745,0.6071420907974243,0.6070332482748098,27,0.55,2,27,28
IWT0160112022202,21,-3.1400000000000006,0.024471583,0.008243247896115993,0.008423737750786319,0.39419564604759216,0.7565220317931762,27,0.55,2,27,28
IWT0160112022202,22,-2.6400000000000006,0.034991737,0.007684974846114918,0.008392969904094723,0.6315415501594543,1.5470710430099603,27,0.55,2,27,28
IWT0160112022202,23,-2.1400000000000006,0.04190289,0.008409029100017989,0.008393639650698975,0.5097724795341492,1.214531828968403,27,0.55,2,27,28
IWT0160112022202,24,-1.6400000000000006,0.0630731,0.008624351763748515,0.008402989756994201,0.343016654253006,0.5648960059819484,27,0.55,2,27,28
IWT0160112022202,25,-1.1400000000000006,0.1085397,0.007677410886175156,0.008376245164196593,0.49637484550476074,1.0481319763479666,27,0.55,2,27,28
IWT0160112022202,26,-0.6400000000000006,0.415164,0.00946669686193903,0.0084191512477885,0.9848742485046387,2.7007970312464478,27,0.55,2,27,28
IWT0160112022202,27,-0.14000000000000057,0.9873986,0.20497599208512748,0.03960924055249743,1.6163933277130127,25.650029454394375,27,0.55,2,27,28
IWT0160112022202,28,0.35999999999999943,0.87037355,0.7487519556011367,0.14438436075121866,1.0685975551605225,4.133262528785517,27,0.55,2,27,28
IWT0160112022202,29,0.8599999999999994,0.4579328,1.9056028777521026,0.37576059723152183,1.0247218608856201,8.826045096901732,27,0.55,2,27,28
IWT0160112022202,30,1.3599999999999994,0.14474377,2.8345496318606944,0.62914566774305,1.007735013961792,8.331127687396108,27,0.55,2,27,28
IWT0160112022202,31,1.8599999999999994,0.031721804,3.5378133572604513,0.8801043219280487,1.0477365255355835,4.241426939313329,27,0.55,2,27,28
IWT0160112022202,32,2.3599999999999994,0.005394196,4.582343193176438,1.1778838871017059,1.3114279508590698,3.9410050978273317,27,0.55,2,27,28
IWT0160112022202,33,2.8599999999999994,0.0013103336,6.472521698019051,1.6058540153288385,1.023504614830017,3.283739462386321,27,0.55,2,27,28
IWT0160112022202,34,3.3599999999999994,0.00036122586,6.5795512572432875,1.9344144686428306,0.45627498626708984,8.310804774335773,27,0.55,2,27,28
IWT0160112022202,35,3.8599999999999994,0.00015162984,7.072946771562383,2.2422406502491485,0.6783528923988342,3.4160814676019577,27,0.55,2,27,28
IWT0160112022202,36,4.359999999999999,9.0195026e-05,5.928735798169066,2.4169729838651683,0.4778457581996918,5.495722098894383,27,0.55,2,27,28
IWT0160112022202,37,4.859999999999999,7.002432e-05,4.9410773667397425,2.5160500921675943,0.6766431927680969,3.745690406671019,27,0.55,2,27,28
IWT0160112022202,38,5.359999999999999,5.7490022e-05,5.508638944629003,2.6355771495674074,0.6877363324165344,2.609867671812136,27,0.55,2,27,28
IWT0160112022202,39,5.859999999999999,4.3406828e-05,4.709515565588905,2.706861403932961,0.6096375584602356,2.849310863070186,27,0.55,2,27,28
IWT0160112022202,40,6.359999999999999,3.458913e-05,4.499867812702025,2.7644642083795237,0.6615179181098938,1.449381318927035,27,0.55,2,27,28
IWT0160112022202,41,6.859999999999999,2.9986539e-05,4.395254400352684,2.8142960634676863,0.8708531856536865,0.9617515528597433,27,0.55,2,27,28
IWT0160112022202,42,7.359999999999999,2.6225982e-05,5.076842068242612,2.8871219408824405,0.551740288734436,2.895102920971602,27,0.55,2,27,28
IWT0160112022202,43,7.859999999999999,2.8825654e-05,4.808224266876796,2.944734761810047,0.5013830065727234,2.2547534841552737,27,0.55,2,27,28
IWT0160112022202,44,8.36,3.2726228e-05,6.293729558607446,3.059249710933269,0.9498951435089111,4.423129031445604,27,0.55,2,27,28
IWT0160112022202,45,8.86,2.9782457e-05,7.452538863791769,3.2191537209516143,0.6309151649475098,1.695906304478586,27,0.55,2,27,28
IWT0160112022202,46,9.36,2.6340002e-05,7.16028481924953,3.351612536421961,0.8604429364204407,1.925877625014963,27,0.55,2,27,28
IWT0160112022202,47,9.86,2.0282154e-05,6.508839740346846,3.4470107965019805,0.6033933162689209,3.5614981446577056,27,0.55,2,27,28
IWT0160112022202,48,10.36,1.9531939e-05,7.261790219233146,3.5658928580680302,0.5703147649765015,1.8509638882406463,27,0.55,2,27,28
IWT0160112022202,49,10.86,1.6425756e-05,6.1864538622659895,3.636856371306831,0.9126290678977966,3.5390183125616783,27,0.55,2,27,28
IWT0160112022202,50,11.36,2.2299688e-05,10.040068266590962,3.8657348033808305,0.533234179019928,6.003300761589619,27,0.55,2,27,28
IWT0160112022202,51,11.86,1.7856953e-05,7.221291508650323,3.9571897446936974,0.5365482568740845,5.873160309972757,27,0.55,2,27,28
