scenario,station_code,segment_id,trace_name,event_name,relative_chunk,local_chunk,injection_chunk,prob,is_injection_chunk,is_post_injection_2pkt
impulse_x20,AIC004,164,AIC0040208110756,208110756,3,6,3,0.032505165785551,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,4,7,3,0.022547148168087,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,5,8,3,0.0175889246165752,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,6,9,3,0.027326526120305,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,7,10,3,0.0319556407630443,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,8,11,3,0.0206642225384712,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,9,12,3,0.0263891946524381,False,False
impulse_x20,AIC004,164,AIC0040208110756,208110756,10,13,3,0.1059264689683914,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-8,11,19,0.0378528982400894,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-7,12,19,0.0345323793590068,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-6,13,19,0.0342231132090091,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-5,14,19,0.0310205724090337,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-4,15,19,0.0271563287824392,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-3,16,19,0.0269676856696605,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-2,17,19,0.0232229456305503,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,-1,18,19,0.0229825843125581,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,0,19,19,0.0271553974598646,True,True
impulse_x20,AIC005,433,AIC0050101061148,101061148,1,20,19,0.0261180028319358,False,True
impulse_x20,AIC005,433,AIC0050101061148,101061148,2,21,19,0.0284802112728357,False,False
impulse_x20,AIC005,433,AIC0050101061148,101061148,3,22,19,0.0296669136732816,False,False
impulse_x20,AIC005,172,AIC0050208110756,208110756,-3,2,5,0.0940335541963577,False,False
impulse_x20,AIC005,172,AIC0050208110756,208110756,-2,3,5,0.1641786992549896,False,False
impulse_x20,AIC005,172,AIC0050208110756,208110756,-1,4,5,0.276718258857727,False,False
impulse_x20,AIC005,172,AIC0050208110756,208110756,0,5,5,0.3747234940528869,True,True
impulse_x20,AIC005,172,AIC0050208110756,208110756,1,6,5,0.370866984128952,False,True
impulse_x20,AIC006,170,AIC0060208110756,208110756,-6,2,8,0.0055720512755215,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,-5,3,8,0.0163035113364458,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,-4,4,8,0.0331909768283367,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,-3,5,8,0.0396793372929096,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,-2,6,8,0.0413942076265811,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,-1,7,8,0.0523108392953872,False,False
impulse_x20,AIC006,170,AIC0060208110756,208110756,0,8,8,0.0511684753000736,True,True
impulse_x20,AIC008,428,AIC0080101061148,101061148,0,2,2,0.0030564898625016,True,True
impulse_x20,AIC008,428,AIC0080101061148,101061148,1,3,2,0.0054046693257987,False,True
impulse_x20,AIC008,428,AIC0080101061148,101061148,2,4,2,0.0163672212511301,False,False
impulse_x20,AIC008,428,AIC0080101061148,101061148,3,5,2,0.021753953769803,False,False
impulse_x20,AIC008,428,AIC0080101061148,101061148,4,6,2,0.0266085173934698,False,False
impulse_x20,AIC008,428,AIC0080101061148,101061148,5,7,2,0.0294497162103652,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,-1,2,3,0.0320321880280971,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,0,3,3,0.0302774216979742,True,True
impulse_x20,AIC008,174,AIC0080208110756,208110756,1,4,3,0.0291199833154678,False,True
impulse_x20,AIC008,174,AIC0080208110756,208110756,2,5,3,0.0266532246023416,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,3,6,3,0.0244595967233181,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,4,7,3,0.0214888155460357,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,5,8,3,0.0207905359566211,False,False
impulse_x20,AIC008,174,AIC0080208110756,208110756,6,9,3,0.0190812293440103,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-8,6,14,0.0405658036470413,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-7,7,14,0.0455916933715343,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-6,8,14,0.0419511497020721,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-5,9,14,0.0433283373713493,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-4,10,14,0.0397300906479358,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-3,11,14,0.0410240441560745,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-2,12,14,0.0352282971143722,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,-1,13,14,0.0330412499606609,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,0,14,14,0.2426092326641082,True,True
impulse_x20,AIC009,392,AIC0090108252221,108252221,1,15,14,0.0329618081450462,False,True
impulse_x20,AIC009,392,AIC0090108252221,108252221,2,16,14,0.0345405340194702,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,3,17,14,0.0266042128205299,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,4,18,14,0.0259968806058168,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,5,19,14,0.0260383412241935,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,6,20,14,0.0223035123199224,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,7,21,14,0.0247866604477167,False,False
impulse_x20,AIC009,392,AIC0090108252221,108252221,8,22,14,0.0274004247039556,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-8,3,11,0.2238933593034744,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-7,4,11,0.315445065498352,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-6,5,11,0.4453324377536773,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-5,6,11,0.3621353209018707,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-4,7,11,0.4435417652130127,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-3,8,11,0.5694877505302429,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-2,9,11,0.424785166978836,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,-1,10,11,0.357267826795578,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,0,11,11,0.4114297330379486,True,True
impulse_x20,AIC009,176,AIC0090208110756,208110756,1,12,11,0.3126851320266723,False,True
impulse_x20,AIC009,176,AIC0090208110756,208110756,2,13,11,0.3263578116893768,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,3,14,11,0.2338390350341797,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,4,15,11,0.246037095785141,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,5,16,11,0.2151601761579513,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,6,17,11,0.1464443802833557,False,False
impulse_x20,AIC009,176,AIC0090208110756,208110756,7,18,11,0.1056000515818595,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,0,2,2,0.0182923041284084,True,True
impulse_x20,AIC010,429,AIC0100101061148,101061148,1,3,2,0.0197993032634258,False,True
impulse_x20,AIC010,429,AIC0100101061148,101061148,2,4,2,0.0908317565917968,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,3,5,2,0.0461192689836025,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,4,6,2,0.0435753725469112,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,5,7,2,0.041165504604578,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,6,8,2,0.04124216735363,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,7,9,2,0.0396855324506759,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,8,10,2,0.0387371033430099,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,9,11,2,0.0374653413891792,False,False
impulse_x20,AIC010,429,AIC0100101061148,101061148,10,12,2,0.0325875952839851,False,False
