gate,threshold,confirm_chunks,valid_chunks,valid_hours,station_day_equivalent,over_threshold_chunks,artifact_gated_valid_chunks,alarm_episodes,interval_count,over_threshold_rate_percent,artifact_gated_valid_rate_percent,false_alerts_per_hour,false_alerts_per_station_day
none,0.55,1,500780,69.55277777777778,2.898032407407407,398,0,367,7,0.07947601741283598,0.0,5.27656855305723,126.63764527337355
none,0.55,2,500780,69.55277777777778,2.898032407407407,398,0,28,7,0.07947601741283598,0.0,0.4025719876991893,9.661727704780544
none,0.55,3,500780,69.55277777777778,2.898032407407407,398,0,2,7,0.07947601741283598,0.0,0.028755141978513518,0.6901234074843245
peak12_width2,0.55,1,500780,69.55277777777778,2.898032407407407,398,35,367,7,0.07947601741283598,0.00698909700866648,5.27656855305723,126.63764527337355
peak12_width2,0.55,2,500780,69.55277777777778,2.898032407407407,398,35,28,7,0.07947601741283598,0.00698909700866648,0.4025719876991893,9.661727704780544
peak12_width2,0.55,3,500780,69.55277777777778,2.898032407407407,398,35,2,7,0.07947601741283598,0.00698909700866648,0.028755141978513518,0.6901234074843245
peak12_width8,0.55,1,500780,69.55277777777778,2.898032407407407,389,376,361,7,0.07767882103917888,0.07508287072167419,5.19030312712169,124.56727505092057
peak12_width8,0.55,2,500780,69.55277777777778,2.898032407407407,389,376,25,7,0.07767882103917888,0.07508287072167419,0.359439274731419,8.626542593554056
peak12_width8,0.55,3,500780,69.55277777777778,2.898032407407407,389,376,2,7,0.07767882103917888,0.07508287072167419,0.028755141978513518,0.6901234074843245
